codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2188,Proteccion Civil de Marín,Base Voluntarios Proteccion Civil (Granxa de Briz-Parque dos sentidos),MARIN,PONTEVEDRA,42.3892,-8.705,Protección civil (no amb.)
2191,PARQUE BOMBEIROS DEZA,PARQUE BOMBEIROS DEZA,SILLEDA,PONTEVEDRA,42.6936,-8.225,Otros
2195,Concello de PONTECESURES,Base de Protección Civil de Pontecesures,PONTECESURES,PONTEVEDRA,42.7211,-8.6533,Protección civil (no amb.)
2211,TUBOS NORTE S. A.,TUBOS MECÁNICOS NORTE SA. PARQUE EMPRESARIAL DE VEIGADAÑA,MOS,PONTEVEDRA,42.1924,-8.6166,En empresa privada
2222,Proteccion Civil de CALDAS de REIS,Base de Proteccion Civil (Casa do Concello),CALDAS DE REIS,PONTEVEDRA,42.6025,-8.6422,Protección civil (no amb.)
2225,CONSORCIO PROVINCIAL BOMBEROS DE PONTEVEDRA,Base Bomberos VILAGARCIA AROSA,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5941,-8.7708,Otros
2226,CONSORCIO PROVINCIAL BOMBEROS DE PONTEVEDRA,Base Bomberos RIBADUMIA,RIBADUMIA,PONTEVEDRA,42.5222,-8.7797,Otros
2227,CONSORCIO PROVINCIAL BOMBEROS DE PONTEVEDRA,Base Bomberos DO MORRAZO,BUEU,PONTEVEDRA,42.3061,-8.7921,Otros
2229,Proteccion Civil de CALDAS de REIS,Base de Proteccion Civil (Casa do Concello),CALDAS DE REIS,PONTEVEDRA,42.6025,-8.6422,Protección civil (no amb.)
2244,Concello de Sanxenxo,Camion de BOMBEROS (Servicio local de emergencias y Proteccion Civil),SANXENXO,PONTEVEDRA,42.4002,-8.828,Otros
2248,Concello de Sanxenxo,Casa do Concello,SANXENXO,PONTEVEDRA,42.4002,-8.8063,Otros
2249,ENXEBRE (vivienda comunitaria),ENXEBRE (vivienda comunitaria),RODEIRO,PONTEVEDRA,42.6591,-7.9305,En empresa privada
2252,POLICIA NACIONAL DE VIGO,COMISARIA POLICIA NACIONAL VIGO (entrada),VIGO,PONTEVEDRA,42.2247,-8.7302,Otros
2259,Colegio Lar,Colexio Lar (secretaria),MOS,PONTEVEDRA,42.2071,-8.6602,En centros docentes
2271,PROTECCiON CIVIL DE VILABOA,Base de Proteccion Civil,VILABOA,PONTEVEDRA,42.3611,-8.6405,Protección civil (no amb.)
2278,IES A Guía,IES A Guía (planta baja),VIGO,PONTEVEDRA,42.2533,-8.6988,En centros docentes
2282,CPR San Fermin- Padres Somascos,CPR San Fermín - Padres Somascos,CALDAS DE REIS,PONTEVEDRA,42.605,-8.6475,En centros docentes
2286,Piscina Municipal CAMBADOS,Piscina municipal (recepción),CAMBADOS,PONTEVEDRA,42.5227,-8.8155,En piscina pública
2287,Serviocio BeOne MONTERREAL,BeOne MONTERREAL (recepción),BAIONA,PONTEVEDRA,42.1051,-8.8182,En instalaciones deportivas
2303,Comandancia GUARDIA CIVIL de PONTEVEDRA,Acuartelamiento de la Guardia Civil de Vigo,VIGO,PONTEVEDRA,42.2241,-8.7258,Otros
2316,ALLIANCE HEALTHCARE ESPAÑA S.A.,ALLIANCE HEALTHCARE S. A.,MEIS,PONTEVEDRA,42.5297,-8.6986,En empresa privada
2334,LA VENECIANA S. A.,LA VENECIANA S. A. (en oficinas),LALIN,PONTEVEDRA,42.678,-8.1366,En empresa privada
2339,DALPHI METAL ESPAÑA S. A.,DALPHI METAL VIGO (NAVE E),VIGO,PONTEVEDRA,42.2073,-8.7564,En empresa privada
2340,DALPHI METAL ESPAÑA S. A.,DALPHI METAL VIGO (NAVE A),VIGO,PONTEVEDRA,42.2053,-8.7563,En empresa privada
2343,Piscina Municipal de Fontecarmoa,PIscina municipal de Fontecarmoa,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5841,-8.7751,En piscina pública
2348,Mancomunidad concellos VALMIÑOR,Base del G. E. S. Val Miñor,NIGRAN,PONTEVEDRA,42.136,-8.8039,Protección civil (no amb.)
2352,LA VENECIANA GLASSOLUTIONS S. A.,LA VENECIANA GLASSOLUTIONS S.A. (en taller),MOS,PONTEVEDRA,42.2,-8.6,En empresa privada
2353,Universidad de Vigo,Facultad de Economicas y Empresariales (conserjeria),VIGO,PONTEVEDRA,42.1702,-8.6808,En centros docentes
2354,Universidad de Vigo,Facultade de Filoloxia (conserjeria),VIGO,PONTEVEDRA,42.1689,-8.6783,En centros docentes
2358,ALUDEC S. A.,ALUDEC INYECCION S.A. (oficina),PONTEVEDRA,PONTEVEDRA,42.4097,-8.588,En empresa privada
2359,ALUDEC S. A.,ALUDEC COMPONENTES S. L. (recepción),PONTE-CALDELAS,PONTEVEDRA,42.4011,-8.5836,En empresa privada
2367,DS SMITH PACKAGING GALICIA S. A.,DS SMITH PACKAGING GALICIA S.A. (zona de máquinas auxiliares),VILAGARCIA DE AROUSA,PONTEVEDRA,42.594,-8.7211,En empresa privada
2368,DS SMITH PACKAGING GALICIA S. A.,DS SMITH PACKAGING GALICIA S.A. (zona de ondulacion),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5938,-8.7211,En empresa privada
